Name of Institution,Affiliation Number,State,District,locality,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee,extra
Lawrence international convent school,1630780,PUNJAB,MOGA,MogaBagha purana,"Lawrence international convent school mandeeran wala road
Bagha purana
Distt. Moga (punjab)",142038,"09464112579
                        ,","09464112579
                        ,",,,,lakashyagarg15@gmail.com,,2011,4/1/2011 12:00:00 AM,Mrs.Rajni chhabra,0,M.A/M.phill/B.Ed,,3,8,Secondary School,Provisional,1/4/2013,31/3/2016,Smt. KANTA DEVI MEMORIAL EDUCATIONAL SOCIETY,
Patriswamy International Public School,830266,KARNATAKA,BIDAR,Kamal NagarAurad,"Patriswamy International Public School, Aurad (B), Bidar Dist, Karnataka - 585326.",585326,"0842-226004
                        ,","0842-226004
                        ,",28562544,28562544,0842-226004,lok_lib@indiatimes.com,http://www.psips.com,2007,5/21/2007 12:00:00 AM,Rode Dhanaji,2,M.A.B.Ed,,2,6,Secondary School,Provisional,1/4/2012,31/3/2017,Arunodaya Vidya Vikas Trust,
ALL  SAINTS PUBLIC SCHOOL,930856,KERALA,THIRUVANANTHAPURAM,ThiruvananthapuramVithura,"All Sainta  Public School                       
Chayam
Vithura.P.O
Nedumangad
Thiruvananthapuram
KERALA STATE",695551,"0472-2856311
                        ,","0472-2856311
                        ,",,,,allsaintspublicschool@gmail.com,,2002,6/2/2003 12:00:00 AM,Sr.Rittty Kappil,0,"BSc, B.Ed",,5,28,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",All Saints Educational and Charitable Trust,
M E S CENTRAL SCHOOL THIRUNAVAYA,931016,KERALA,MALAPPURAM,THIRUNAVAYA KUTTIPPURAM,"M E S CENTRAL SCHOOL THIRUNAVAYA,THIRUNAVAYA(PO),MALAPPURAM(DT), KERALA-676301",676301,"0494 2603416
                        ,","0494 2603416
                        ,",,,0494 2603416,jk_mestva@yahoo.com,,1996,6/3/1996 12:00:00 AM,JAYAKUMAR.B,0,"M.A, M.Ed,M.Phil",,7,14,Secondary School,Provisional,1/4/2013,31/3/2016,MUSLIM EDUCATIONAL SOCIETY," M E S CENTRAL SCHOOL THIRUNAVAYA Affiliation Code:931016 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:M E S CENTRAL SCHOOL THIRUNAVAYA,THIRUNAVAYA(PO),MALAPPURAM(DT), KERALA-676301 Phone Num: STD Code: PhNo: 0494 2603416 , Fax: City: 676301 Email:jk_mestva@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
MASCOT PUBLIC SCHOOL,2131596,uttar pradesh,BIJNOUR,DHAMPURNEHTAUR,"MUSCOT PUBLICE SCHOOL, SHADIPUR NEHTAUR NOORPUR ROAD, DISTT BIJNOR",246733,"01344279220
                        ,","01344279220
                        ,",,,,MPSSHADIPUR@GMAIL.COM,,2009,4/1/2009 12:00:00 AM,Mr.MANOJ KUMAR,0,MA-B.ED,,3,10,Secondary School,Provisional,1/4/2013,31/3/2016,MASCOT WELFARE SOCIETY,
"Weidner Memorial Hr. Sec. School, Mahasamund",3330133,CHATTISGARH,MAHASUMUND,MahasamundMahasamund,"Weidner Memorial Hr. Sec., School, Mahasamund",493445,"07723 222216
                        ,","07723 222216
                        ,",,,,weidnermemo_msmd@yahoo.com,,1975,7/1/1975 12:00:00 AM,Fr. John Xavier,0,"M.A., M. Ed., Ph.D.",,11,19,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018",Vidya Jyoti Vikas Samiti,
VASANTIBEN AND CHANDUBHAI PATEL ENGLISH SCHOOL,430138,GUJARAT,ANAND,Vallabh VidyanagarVallabh Vidyanagar,"NEAR MANISH CREATION, B/h. I.B. PATEL ENGLISH SCHOOL, NR. BHAIKAKA MARG, VALLABH VIDYANAGAR.",388120,"02692233325
                        ,","02692233325
                        ,",25113240,25113240,236493,vandcpatelenglishschool@gmail.com,www.vandcpeschool.edu.in,2008,6/23/2008 12:00:00 AM,MADHURI RAVISHANKAR,2,"M.Sc., B.Ed., PGDEPNHC",,3,11,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2020",Charutar Vidya Mandal,
"SHANTI NIKETAN PUBLIC SCHOOL, BHADRA",1730439,RAJASTHAN,HANUMANGARH,BHADRABHADRA,"SHANTI NIKETAN PUBLIC SCHOOL, SANJAY CHOWK, BHADRA DISTT. HANUMANGARH (RAJ.)",335501,"01504-225333
                        ,","01504-225333
                        ,",331003,331003,,snpsbhadra@gmail.com,www.snpsbhadra.org,2004,4/1/2004 12:00:00 AM,KRANTI,1,"B.A. (Hons), M.A. (Eng), M.A. (Hindi), B.Ed.",,3,6,Senior Secondary,Provisional,1/4/2012,"31/
                    3/
                    2015","Shanti Niketan Educational Society, Bhadra",
Karan Public School,530365,HARYANA,JHAJJAR,BhadurgarhJhajjar,"Karan Public School 
Model Town 
Jhajjar",124103,"01251-252852
                        ,","01251-252852
                        ,",,,,karnpublicschool@yahoo.com,,2000,4/1/2000 12:00:00 AM,Joginder Singh,1,"M.A., B. Ed",,10,12,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2019",Karan Education Society Jhajjar,
"Shah Satnam Ji Girls School, Bansapur",1030386,MADHYA PRADESH,SEHORE,BudniBudni,"Shah Satnam Ji Girls School,
Bansapur",466445,"098273-65508
                        ,","098273-65508
                        ,",260367,260367,07564-235238,engineer_abhijeet@yahoo.com,,2007,7/2/2007 12:00:00 AM,Nutan Insan,2,"M.A., B.Ed.",,1,2,Senior Secondary,Provisional,1/4/2011,"31/
                    3/
                    2014",Shah Satnam Ji Research & Development Foundation Sirsa (Haryana),
INDIAN SCHOOL,3330099,CHATTISGARH,RAIGARH,"RAIGARHCHAKRADHAR NAGAR, RAIGARH","INDIAN SCHOOL, ATTARMUDA,RAIGARH",496001,"09203908321
                        ,","09203908321
                        ,",2758565,2758565,,director@indianschool.ws,http://www.indianschool.ws,2005,4/1/2005 12:00:00 AM,JAGRITI PRABHAKAR,1,"M.A.,B.A.",,2,10,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2019",GYAN ASHA EDUCATIONAL SOCIETY,
"JYOTI CONVENT SR. SEC. SCHOOL, BIAORA",1030448,MADHYA PRADESH,RAJGARH,BIAORABIAORA,"JYOTI CONVENT SR. SECONDARY SCHOOL, BIAORA",465674,"07374-232123
                        ,","07374-232123
                        ,",2001,2001,,augustine_thevarkunnel@yahoo.com,,1973,8/1/1973 12:00:00 AM,TESSY AUGUSTINE,1,"M.A., B.ED.",,15,30,Senior Secondary,Provisional,1/4/2012,"31/
                    3/
                    2017",THE DIOCESE OF UJJAIN,
Wheat Fields Public School,1630759,PUNJAB,BHATINDA,sangatsangat,"Wheat Fields Public School,Badal Road, V.P.O-Ghudda, District & Tehsil-BHATINDA",151001,"09417777347
                        ,","09417777347
                        ,",,,,wfpsghudda@gmail.com,,2008,4/1/2008 12:00:00 AM,Mrs.Parveen Chadda,0,"B.SE, B.ED",,2,7,Secondary School,Provisional,1/4/2012,31/3/2015,Wheat Fields Education Society,
Terna Public School,1130406,MAHARASHTRA,OSMANABAD,OsmanabadOsmanabad,"Terna Public School, Ghugadi Campus, Osmanabad, Maharastra.",413501,"02472 228621
                        ,","02472 228621
                        ,",,,,tps228621@rediff.com,,1972,6/1/1972 12:00:00 AM,MissJayashri Baburao Zole,0,"B.A, B.Ed",,5,17,Secondary School,Provisional,1/4/2012,31/3/2015,Sant Goroba Shikshan Prasarak Mandal,
ST. FRANCIS SCHOOL,830413,KARNATAKA,MYSORE,MYSORESARASWATHI PURAM,"ST. FRANCIS SCHOOL, SEVA JYOTHI, JETTIHUNDI, BEERI HUNDI P.O., BOGADI, MYSORE - 570026.",570026,"0821 2598608, 9740853343
                        ,","0821 2598608, 9740853343
                        ,",,,,prinstfrancis@gmail.com,,2008,6/3/2008 12:00:00 AM,THOMAS K.V,0,"M.A, B Ed",,3,5,Secondary School,Provisional,1/4/2014,31/3/2019,THE JYOTHI SEVA SOCIETY OF BANGALORE,
G.S. INTERNATIONAL PUBLIC SCHOOL,1630748,PUNJAB,GURDASPUR,BatalaKotli Surat,"DERA BABA NANAK GURDASPUR, PUNJAB",143605,"01871-262136
                        ,","01871-262136
                        ,",04842426338,04842426338,01871-262439,gsinternationalschool@gmail.com,,2008,4/1/2008 12:00:00 AM,Dr.Parveen Taunk,2,"M.Sc, B.Ed",,4,6,Secondary School,Provisional,1/4/2015,31/3/2020,"Bhai Gurdas Model School Education Society, Bhagwanpur",
INDIAN PUBLIC SCHOOL,1530152,ORISSA,SAMBALPUR,Sambalpur JunctionKhetarajpur,"C/O Principal,Indian Public School,Remed Khetarajpur-Road Remed Sambalpur ,Orissa",768006,"06632545454,09438625404
                        ,","06632545454,09438625404
                        ,",,,,ipssbp25@gmail.com,http://www.ipsgroups.in/,2009,4/2/2009 12:00:00 AM,Mr.Mohammed Hafiz Hashmi,,"MSc(Botany)BEd.,M.A.Education",,06,08,Secondary School,Provisional,1/4/2012,31/3/2015,K.S.DALMIA EDUCATION TRUST,
Raj Hans School Rewa,1030532,MADHYA PRADESH,REWA,Rewacivil line Rewa,Raj Hans School Sirmour chowk Rewa,486001,"07662- 404099
                        ,","07662- 404099
                        ,",,,,Rajhans.school@gmail.com,http://www.Rajhans.com,2004,7/1/2010 12:00:00 AM,R.K.Tiwari,0,"M.sc., B Ed",,07,12,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Sajjan singh education society," Raj Hans School Rewa Affiliation Code:1030532 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Raj Hans School Sirmour chowk Rewa Phone Num: STD Code: PhNo: 07662- 404099 , Fax: City: 486001 Email:Rajhans.school@gmail.com, Website:http://www.Rajhans.com Courses of study offered: This school follows the CBSE curriculum"
MODERN CONVENT SCHOOL,1030617,MADHYA PRADESH,SHEOPUR,SheopurSheopur,"MODERN CONVENT SCHOOL, BARODA ROAD SHEOPUR (M.P.)",476337,"07530 290814
                        ,","07530 290814
                        ,",,,07530 220478,ruchita.taneja@gmail.com,,2000,7/1/2000 12:00:00 AM,PREMLATA GOYAL,0,"M.A.,B.Ed.",,5,5,Secondary School,Provisional,1/4/2012,31/3/2015,maa sarswati educational society,
Little Flower CBSE Innovative School,130292,ANDHRA PRADESH,NALGONDA,Nalgonda1 town PS Nlg,"Little Flower CBSE Innovative School, Sanjeevaiah Nagar, Nalgonda,",508001,"08682 232317
                        ,","08682 232317
                        ,",2319361,2319361,,srshanthaudumala@yahoo.co.in,,2009,6/12/2009 12:00:00 AM,MissSr. Shantha Mary Udumala,1,"M.A, M. Ed.",,15,22,Secondary School,Provisional,1/4/2012,31/3/2015,Society of Catechist Sisters of ST. Ann,
Sahibzada Zorawar Singh Public School,1630756,PUNJAB,KAPURTHALA,BEASNADALA,Sahibzada Zorawar Singh Public School,144624,"01822-271901
                        ,","01822-271901
                        ,",,,01822-271901,szspsnadala@gmail.com,,2006,4/14/2008 12:00:00 AM,Mrs.kanwaljit kaur,0,"M.A,B.Ed",,3,5,Secondary School,Provisional,1/4/2012,31/3/2015,"Shiromani Gurdwara Parbandhak Committee,amritsar",
Doraha Public School,1630553,PUNJAB,LUDHIANA,DorahaDoraha,"Doraha Public School,
DORAHA",141421,"01828-258301
                        ,","01828-258301
                        ,",9915070521,9915070521,,dopsdoraha@yahoo.com,,2007,4/8/2008 12:00:00 AM,MS SANGEETA BEDI,2,,,,,Senior Secondary,Provisional,1/4/2011,"31/
                    3/
                    2014",Sant Kartar Singh Kamalia Wale Educational Society,
Suryansh Public School,2131456,uttar pradesh,MORADABAD,MoradabadKatghar,"Suryansh Public School, Suryansh Golf Links, main moradabad, rampur national highway no. 24, moradabad, UP",244001,"0591-2951051
                        ,","0591-2951051
                        ,",,,0591-2951051,suryanshpbschool@gmail.com,,2011,4/15/2011 12:00:00 AM,Mrs.Eshu Bhardwaj,,"MA, B.Ed",,4,10,Secondary School,Provisional,1/4/2012,31/3/2015,Suryansh Educational Research Training And devlopment Society," Suryansh Public School Affiliation Code:2131456 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Suryansh Public School, Suryansh Golf Links, main moradabad, rampur national highway no. 24, moradabad, UP Phone Num: STD Code: PhNo: 0591-2951051 , Fax: City: 244001 Email:suryanshpbschool@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
kristu Raja Public School,930988,KERALA,WAYANAD,KozhikodeKalpetta,"Vellaramkunnu,PuzhamudiP.O.,Kalpetta,Wayanad",673121,"04936-205566
                        ,","04936-205566
                        ,",,,,kristurajapublicschool@gmail.com,,1997,6/4/1997 12:00:00 AM,MissSr.Stein.C.T.C,2,"B.sc,B.ed",,15,29,Secondary School,Provisional,1/4/2013,31/3/2016,"Society of the congregation of the teresian carmelites,St.Josephs Province",
AL-IHSAN CENTRAL SCHOOL,930810,KERALA,PATHANAMTHITTA,THIRUVALLATHIRUVALLA,"AL-IHSAN ISLAMIC COMPLEX,
NIRANAM NORTH P.O.
THIRUVALLA,
PATHANAMTHITTA DISTRICT
KERALA",689621,"04692747312
                        ,","04692747312
                        ,",2762545,2762545,04692747312,alihsancs@yahoo.com,,2003,5/18/2003 12:00:00 AM,CHANDRAMATHI AMMA,0,"M.A., B.Ed.",,6,7,Secondary School,Provisional,1/4/2014,31/3/2019,AL-IHSAN ISLAMIC EDUCATION AND CHARITABLE SOCIETY,
ROOPNAGAR PUBLIC SCHOOL,1730477,RAJASTHAN,JHALAWAR,RamganjMandiJhalawar,"ROOPNAGAR PUBLIC SCHOOL, ROOPNAGAR COLONY, N.H. 12 KOTA ROAD, JHALAWAR (RAJ) 326001",326001,"07432513747
                        ,","07432513747
                        ,",2545951,2545951,07432513747,RPSJHALAWAR@YAHOO.CO.IN,,2008,4/1/2008 12:00:00 AM,PUSHPENDRA AGRAWAL,1,"MBA, B.TECH",,5,5,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Raj Rajeshwar Sewa Samiti,
B P SCHOOL,531067,HARYANA,REWARI,JATUSANAROHRAI,"ROJHUWAS, PO ROHRAI, REWARI",123401,"01281242460
                        ,","01281242460
                        ,",,,,rahul.a9@rediffmail.com,,2007,4/1/2007 12:00:00 AM,Mr.Nirmala Kumari,0,"M.A.,B.Ed.",,04,06,Secondary School,Provisional,1/4/2014,31/3/2017,BHARTIYA SIKSHA SAMITI,
St.Charles Hr.Sec.School,1030614,MADHYA PRADESH,HOSHANGABAD,HOSHANGABADHOSHANGABAD,"St.Charles Hr.Sec.School,Rasulia ,Saraswati nagar, Hoshangabad.M.P",461001,"09893562998 Or 07574255173
                        ,","09893562998 Or 07574255173
                        ,",,,,principalscs8@gmail.com,,1987,7/1/1994 12:00:00 AM,MissJuliana Crasta,0,M.A (Eng.)B.Ed.,,06,10,Senior Secondary,Provisional,1/4/2012,"31/
                    3/
                    2015","Sisters Of St.Charles Society,Hoshangabad.M.Py",
"ARYA ADARSH SENIOR SECONDARY SCHOOL, MADLAUDA PANIPAT",530811,HARYANA,PANIPAT,MADLAUDAMADLAUDA,"ARYA ADARSH SENIOR SECONDARY SCHOOL, MADLAUDA, PANIPAT",132113,"01802584506
                        ,","01802584506
                        ,",,,,deeplath@gmail.com,www.aasssmadlauda.com,1995,3/19/1995 12:00:00 AM,PREM CHAND GUPTA,0,B.A. B.T.,,15,35,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018",ARYA ADARSH SHIKSHA PARCHAR SAMITI,
Al Sabah Indian Pvt School,6630066,FOREIGN SCHOOLS,UNITED ARAB EMIRATES,NADhaid Police Station,Al Sabah Indian Pvt. School Post Box-13347,000000,"0097168828589
                        ,","0097168828589
                        ,",,,0097168828985,www.alsabahschool@yahoo.com,http://www.alsabahschool.com,2003,4/14/2003 12:00:00 AM,Mrs.Anjana Ramesh Rawat,,"M.Sc,M.Ed,Ph.D in edn (Process)",,7,4,Secondary School,Provisional,1/4/2013,31/3/2016,Al Sabah Managing committee,
P.G.SENIOR SECONDARY SCHOOL,2131500,uttar pradesh,KUSHI NAGAR,KAPTAINGANJKAPTAINGANJ,"P.G.SENIOR SECONDARY SCHOOL 
CAPTAINGANJ KUSHINAGAR
UTTAR PRADESH",274301,"05567252718
                        ,","05567252718
                        ,",,,,pgssschool@gmail.com,,2004,4/17/2007 12:00:00 AM,Mrs.SANGITA SINGH,0,M.SC. AND B.ED.,,5,10,Secondary School,Provisional,1/4/2013,31/3/2016,PAWAN GOLD CHILDRENS ACADEMY,
Dinah Convent High School,1030546,MADHYA PRADESH,UJJAIN,Tarana RoadTarama,"Dinah Convent High School, Saraswati Nagar,",456665,"07369-235123
                        ,","07369-235123
                        ,",2315039,2315039,,dinah.tarana@gmail.com,,1993,7/5/1993 12:00:00 AM,Sr. Mary John,2,"M.A. , B.Ed.",,6,6,Secondary School,Provisional,1/4/2014,31/3/2019,The Diocese of Ujjain," Dinah Convent High School Affiliation Code:1030546 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Dinah Convent High School, Saraswati Nagar, Phone Num: STD Code: PhNo: 07369-235123 , Fax: City: 456665 Email:dinah.tarana@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
SPRINGDALE INDIAN SCHOOL SHARJAH,6630069,FOREIGN SCHOOLS,UNITED ARAB EMIRATES,No Railway StationAl Hira Police Station,Springdale Indian School Sharjah - P.O  BOX. 27060 UAE.,027060,"0097165243335
                        ,","0097165243335
                        ,",,,0097165243336,springdale_school@hotmail.com,http://www.springdale.org,1991,4/1/1999 12:00:00 AM,Mr.x,0,x,,5,5,Secondary School,Provisional,1/4/2013,31/3/2016,G.S BHOLA and family trust,
Pass Percentage,,SSC-2014,,,,,,,,,,,,,,,,,,,,,,,,,
DVM PUBLIC SCHOOL ANUPPUR (M.P.),1030605,MADHYA PRADESH,SHAHDOL,AnuppurAnuppur,"DVM PUBLIC SCHOOL
MODEL SCHOOL ROAD,
ANUPPUR DISTT.-ANUPPUR (M.P.)",484224,"07659-290868
                        ,","07659-290868
                        ,",,,07659-222394,dvmpublicschoolanuppur@yahoo.in,http://www.dvmsociety.com,2010,7/7/2010 12:00:00 AM,Mrs.SUSHILA KULWANT,,M.A. B.Ed.,,15,17,Secondary School,Provisional,1/4/2012,31/3/2015,DAYANAND VEDIC MISSION EDUCATIONAL&CHARITABLE MANAGMENT SOCIETY DELHI,
india international school,6630068,FOREIGN SCHOOLS,UNITED ARAB EMIRATES,METRO- RASHIDIYAINDUSTRIAL AREA,"p.b. no. 64264, schools zone, muweilah, sharjah, u.a.e.",064264,"009715356000
                        ,","009715356000
                        ,",,,009715356999,iissharjah@gmail.com,,2011,9/6/2011 12:00:00 AM,mr.anis ahmad,0,m.a. m.ed. d.m.s.,,16,29,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",india international school managing committee,
,79.69,"PARAGON PUBLIC SENIOR SECONDARY SCHOOL, G.PALAH SAHIB, KHAIRABAD, AMRITSAR",76.44,,81.39,"SHRI GURU HARGOBIND PUBLIC SENIOR SECONDARY SCHOOL, GURUSAR SUTLANI SAHIB (AMRITSAR)",,92.89,,85.11,79.69,"PANJ AAB PUBLIC SCHOOL, SOHIAN KALAN (AMRITSAR)",87.33,76.76,"SANT BABA BHURI WALE PUBLIC SENIOR SECONDARY SCHOOL, KOT MIT SINGH (AMRITSAR)",85.56,75.43,"MONTESSORI PUBLIC SENIOR SECONDARY SCHOOL, RAYYA (AMRITSAR)",90.22,73.6,"SRI GURU HARKRISHAN PUBLIC SENIOR SECONDARY SCHOOL, (CHIEF KHALSA DIWAN) RASULPUR KALAN (AMRITSAR)",90,65.56,60.82,"JAGAT JYOTI PUBLIC SENIOR SECONDARY SCHOOL, 36,37 GOKAL KA BAGH, EAST MOHAN NAGAR AMRITSAR",76.44,
btc public school,930840,KERALA,ERNAKULAM,TRIPUNITHURAPUTHENCRUZ,"puthencruz. p.o.
ernakulam. (dist)",682308,"0484-2730057
                        ,","0484-2730057
                        ,",563305,563305,,baselians@gmail.com,,2004,6/2/2004 12:00:00 AM,m.v. cherian,2,"m.sc., m.a. b.ed.",,1,25,Secondary School,Provisional,1/4/2014,31/3/2019,st. mary''s charitable trust puthencruz," BASELIUS THOMAS I CATHOLICOSE PUBLIC SCHOOL (BTC PUBLIC SCHOOL) Affiliation Code:930840 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:BTC PUBLIC SCHOOL PUTHENCRUZ. P.O.ERNAKULAM. (Dist) Phone Num: STD Code: PhNo: 0484-2730057 , Fax: City: 682308 Email:baselians@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Sri B.V.N.Central Public School.,830322,KARNATAKA,KOLAR,BangarpetRobertsonpet,"Sri B.V.N. Central Public School, Rajiv Gandhi Layout,Pottepalli,Robertsonpet,K.G.F -563122",563122,"08153-266224
                        ,","08153-266224
                        ,",28562544,28562544,08153-260205,sbvnps@hotmail.com,http://www.aecsgroup.in,2004,6/1/2004 12:00:00 AM,"V.PHEBE.,",2,"M.A., M.Ed., B.Sc., B.Ed.,",,04,10,Secondary School,Provisional,1/4/2013,31/3/2016,Sri Bharathiya Vidyarthi Nilaya Educational Society,
C.T.E Societys International Public School,830422,KARNATAKA,BELGAUM,Chikodi RoadChikodi,"C.T.E Societys International Public School, co R.D. High School Campus, N.M. Road Chikodi",591201,"08338272537
                        ,","08338272537
                        ,",,,08338272122,ctesinternationalpublicschool@gmail.com,http://www.ctescbse.org,2006,6/1/2006 12:00:00 AM,Raghavendra Kulkarni,,M.A. B.Ed,,4,2,Secondary School,Provisional,1/4/2014,31/3/2017,Chikodi Taluka Educationa Society," C.T.E Societys International Public School Affiliation Code:830422 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:C.T.E Societys International Public School, co R.D. High School Campus, N.M. Road Chikodi Phone Num: STD Code: PhNo: 08338272537 , Fax: City: 591201 Email:ctesinternationalpublicschool@gmail.com, Website:http://www.ctescbse.org Courses of study offered: This school follows the CBSE curriculum"
"The Genius School, Rania",530763,HARYANA,SIRSA,SIRSARANIA,"The Genius School, Rania
Behind Anaz Mandi,
Rania",125076,"9812302141
                        ,","9812302141
                        ,",2339294,2339294,,sirsaphotostat@gmail.com,,2004,4/1/2004 12:00:00 AM,Gurnam Singh,2,"M.A., B.Ed.",,6,8,Secondary School,Provisional,1/4/2012,31/3/2017,"The Genius School of Education Society, Rania"," The Genius School, Rania Affiliation Code:530763 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:The Genius School, RaniaBehind Anaz Mandi,Rania Phone Num: STD Code: PhNo: 9812302141 , Fax:2339294 City: 125076 Email:sirsaphotostat@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
"SJS PUBLIC SCHOOL, UNCHAHAR, RAEBARELI",2131552,uttar pradesh,RAI BARELI,UNCHAHARUNCHAHAR,"S.J.S.PUBLIC SCHOOL, UNCHAHAR,S.J.S. POINT, RAEBARELI-ALLAHABAD STATE HIGHWAY, UNCHAHAR, RAEBARELI",229404,"9415956585
                        ,","9415956585
                        ,",,,0,sjspublicschool@gmail.com,,2005,4/1/2005 12:00:00 AM,Mrs.NEELAM SINGH,0,"MSC., BED.",,6,14,Secondary School,Provisional,1/4/2013,31/3/2016,K.B.S. PUBLIC SCHOOL SOCIETY," SJS PUBLIC SCHOOL, UNCHAHAR, RAEBARELI Affiliation Code:2131552 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:S.J.S.PUBLIC SCHOOL, UNCHAHAR,S.J.S. POINT, RAEBARELI-ALLAHABAD STATE HIGHWAY, UNCHAHAR, RAEBARELI Phone Num: STD Code: PhNo: 9415956585 , Fax: City: 229404 Email:sjspublicschool@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
BABA SHRI CHAND PUBLIC SCHOOL,1630788,PUNJAB,LUDHIANA,LudhianaRaekot,"Baba Shri Chand Public School ,Nurpura P.O Halwara Teh. Raekot Distt . Ludhiana",141107,"01624-657577
                        ,","01624-657577
                        ,",,,,babashrichandpublicschool@yahoo.com,,2004,4/4/2004 12:00:00 AM,Mrs.Harvir Kaur,0,"M.A , B.ED",,5,7,Secondary School,Provisional,1/4/2013,31/3/2016,"Shri Udasin Acharya Baba Shri Chand Educational Society,Village Nurpura, Teh Raekot, Distt Ludhiana",
Podar International School,1130410,MAHARASHTRA,NAGPUR,-,"SURVEY NO. PH.-38/A, MOUZA WELAHARI TAL. NAGPUR, Maharashtra",440034,"6455205
                        ,","6455205
                        ,",,,6455205,principal.nagpurbesa@podar.org,http://www.podar.org,2011,6/23/2011 12:00:00 AM,,0,,,,,Secondary School,Provisional,1/4/2014,31/3/2017,Podar Literacy and Education Trust,
MYSORE WEST LIONS SEVANIKETAN SCHOOL,830063,KARNATAKA,MYSORE,-,SEVANIKETAN SCHOOL GOKULAM 3RD STAGE MYSORE KARNATAKA,570002,"511254
                        ,","511254
                        ,",511638,511638,01342-264775,mwlsns@hclinfinet.com,www.lions-school.org,2009,4/1/2009 12:00:00 AM,HEMALATHA M,1,Phd.,,7,5,Secondary School,Provisional,1/4/2013,31/3/2018,Bhagwant Education Foundation,
Shaikh Central School,830267,KARNATAKA,BELGAUM,"BELGAUMMalmaruti, Belgaum","Shaikh Central School, Shaikh Campus, Nehru Nagar, Belgaum",590010,"0831 - 2471287,  2470486
                        ,","0831 - 2471287,  2470486
                        ,",28562544,28562544,0831 - 2473127,mohd.roshan.attar@pestbgm.org,http://www.pestbgm.org,2002,6/1/2002 12:00:00 AM,Bharathi P Patil,2,B.A. M.Ed.,,03,17,Secondary School,Provisional,1/4/2013,31/3/2016,"PEOPLE'S EDUCATION SOCIETY AND TRUST, BELGAUM",
aryans model sr. sec.school,530974,HARYANA,BHIWANI,charkhi dadricharkhi dadri,"aryans model school  
ghikara road
ch.dadri
bhiwani(haryana)
127306",127306,"01250224462
                        ,","01250224462
                        ,",,,01250223306,varyans2008@gmail.com,,2008,4/1/2010 12:00:00 AM,dr. kailash chand sharma,,"m.a,p.hd,b.ed.",,14,40,Senior Secondary,Provisional,1/4/2012,"31/
                    3/
                    2015",Rattan Singh Memorial SHiksha Samiti,
Al Barkaat Malik Muhammad Islam English School,1130375,MAHARASHTRA,MUMBAI,Kurla StationVinoba Bhave Nagar police Station,"Vinoba Bhave Nagar, kurla (W), Mumbai - 400070.",400070,"022-25030069
                        ,","022-25030069
                        ,",,,25031910,albarkaatschool@yahoo.com,http://www.albarkaat.in,2006,6/15/2006 12:00:00 AM,Mrs.Shagufta S. Khan,0,"B.Sc, M.Ed",,5,10,Secondary School,Provisional,1/4/2015,31/3/2020,Rehbar Foundation," Al Barkaat Malik Muhammad Islam English School Affiliation Code:1130375 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Al Barkaat Malik Muhammad Islam English School, Vinoba Bhave Nagar, kurla (W), Mumbai - 400070. Phone Num: STD Code: PhNo: 022-25030069 , Fax: City: 400070 Email:albarkaatschool@yahoo.com, Website:http://www.albarkaat.in Courses of study offered: This school follows the CBSE curriculum"
